1.9010902e-01	1.0484550e-01	1.0512377e-01	6.3279676e-01
1.8505751e-01	1.0520700e-01	1.0549565e-01	6.2928135e-01
1.8006408e-01	1.0555681e-01	1.0585536e-01	6.2577299e-01
1.7512837e-01	1.0589503e-01	1.0620300e-01	6.2227173e-01
1.7025001e-01	1.0622177e-01	1.0653867e-01	6.1877762e-01
1.6542862e-01	1.0653712e-01	1.0686248e-01	6.1529073e-01
1.6066384e-01	1.0684118e-01	1.0717453e-01	6.1181109e-01
1.5595528e-01	1.0713404e-01	1.0747493e-01	6.0833875e-01
1.5130256e-01	1.0741580e-01	1.0776379e-01	6.0487376e-01
1.4670529e-01	1.0768656e-01	1.0804121e-01	6.0141616e-01
1.4216308e-01	1.0794642e-01	1.0830730e-01	5.9796600e-01
1.3767553e-01	1.0819548e-01	1.0856218e-01	5.9452330e-01
1.3324224e-01	1.0843383e-01	1.0880594e-01	5.9108811e-01
1.2886283e-01	1.0866158e-01	1.0903871e-01	5.8766047e-01
1.2453689e-01	1.0887881e-01	1.0926060e-01	5.8424040e-01
1.2026401e-01	1.0908563e-01	1.0947171e-01	5.8082794e-01
1.1604379e-01	1.0928214e-01	1.0967216e-01	5.7742312e-01
1.1187583e-01	1.0946843e-01	1.0986206e-01	5.7402597e-01
1.0775972e-01	1.0964460e-01	1.1004153e-01	5.7063652e-01
1.0369505e-01	1.0981076e-01	1.1021067e-01	5.6725479e-01
9.9681415e-02	1.0996699e-01	1.1036960e-01	5.6388081e-01
9.5718406e-02	1.1011339e-01	1.1051843e-01	5.6051460e-01
9.1805614e-02	1.1025007e-01	1.1065727e-01	5.5715619e-01
8.7942632e-02	1.1037712e-01	1.1078624e-01	5.5380559e-01
8.4129049e-02	1.1049464e-01	1.1090544e-01	5.5046284e-01
8.0364459e-02	1.1060272e-01	1.1101500e-01	5.4712794e-01
7.6648453e-02	1.1070146e-01	1.1111501e-01	5.4380093e-01
7.2980624e-02	1.1079096e-01	1.1120559e-01	5.4048180e-01
6.9360565e-02	1.1087132e-01	1.1128685e-01	5.3717060e-01
6.5787871e-02	1.1094263e-01	1.1135890e-01	5.3386732e-01
6.2262137e-02	1.1100499e-01	1.1142184e-01	5.3057200e-01
5.8782959e-02	1.1105849e-01	1.1147579e-01	5.2728463e-01
5.5349934e-02	1.1110323e-01	1.1152086e-01	5.2400525e-01
5.1962663e-02	1.1113931e-01	1.1155714e-01	5.2073386e-01
4.8620743e-02	1.1116682e-01	1.1158475e-01	5.1747048e-01
4.5323779e-02	1.1118584e-01	1.1160379e-01	5.1421512e-01
4.2071371e-02	1.1119649e-01	1.1161436e-01	5.1096780e-01
3.8863126e-02	1.1119885e-01	1.1161657e-01	5.0772853e-01
3.5698651e-02	1.1119301e-01	1.1161051e-01	5.0449733e-01
3.2577552e-02	1.1117907e-01	1.1159630e-01	5.0127420e-01
2.9499441e-02	1.1115712e-01	1.1157402e-01	4.9805916e-01
2.6463929e-02	1.1112725e-01	1.1154378e-01	4.9485223e-01
2.3470630e-02	1.1108956e-01	1.1150568e-01	4.9165341e-01
2.0519162e-02	1.1104412e-01	1.1145982e-01	4.8846272e-01
1.7609140e-02	1.1099104e-01	1.1140628e-01	4.8528017e-01
1.4740186e-02	1.1093041e-01	1.1134516e-01	4.8210577e-01
1.1911922e-02	1.1086230e-01	1.1127656e-01	4.7893954e-01
9.1239723e-03	1.1078681e-01	1.1120057e-01	4.7578150e-01
6.3759629e-03	1.1070404e-01	1.1111728e-01	4.7263164e-01
3.6675225e-03	1.1061405e-01	1.1102679e-01	4.6948999e-01
9.9828219e-04	1.1051695e-01	1.1092917e-01	4.6635656e-01
-1.6321252e-03	1.1041282e-01	1.1082452e-01	4.6323136e-01
-4.2240643e-03	1.1030174e-01	1.1071293e-01	4.6011440e-01
-6.7778978e-03	1.1018381e-01	1.1059448e-01	4.5700570e-01
-9.2939860e-03	1.1005909e-01	1.1046925e-01	4.5390527e-01
-1.1772687e-02	1.0992768e-01	1.1033733e-01	4.5081312e-01
-1.4214357e-02	1.0978966e-01	1.1019881e-01	4.4772927e-01
-1.6619349e-02	1.0964511e-01	1.1005376e-01	4.4465373e-01
-1.8988015e-02	1.0949411e-01	1.0990227e-01	4.4158651e-01
-2.1320704e-02	1.0933675e-01	1.0974441e-01	4.3852763e-01
-2.3617763e-02	1.0917311e-01	1.0958026e-01	4.3547710e-01
-2.5879538e-02	1.0900326e-01	1.0940991e-01	4.3243493e-01
-2.8106370e-02	1.0882729e-01	1.0923343e-01	4.2940113e-01
-3.0298601e-02	1.0864526e-01	1.0905089e-01	4.2637573e-01
-3.2456570e-02	1.0845728e-01	1.0886238e-01	4.2335873e-01
-3.4580612e-02	1.0826340e-01	1.0866796e-01	4.2035014e-01
-3.6671062e-02	1.0806370e-01	1.0846772e-01	4.1734999e-01
-3.8728252e-02	1.0785828e-01	1.0826171e-01	4.1435827e-01
-4.0752513e-02	1.0764719e-01	1.0805003e-01	4.1137502e-01
-4.2744173e-02	1.0743051e-01	1.0783273e-01	4.0840022e-01
-4.4703558e-02	1.0720833e-01	1.0760990e-01	4.0543391e-01
-4.6630992e-02	1.0698070e-01	1.0738160e-01	4.0247609e-01
-4.8526798e-02	1.0674772e-01	1.0714789e-01	3.9952678e-01
-5.0391296e-02	1.0650945e-01	1.0690887e-01	3.9658598e-01
-5.2224805e-02	1.0626596e-01	1.0666458e-01	3.9365371e-01
-5.4027642e-02	1.0601733e-01	1.0641511e-01	3.9072997e-01
-5.5800121e-02	1.0576363e-01	1.0616051e-01	3.8781479e-01
-5.7542556e-02	1.0550493e-01	1.0590087e-01	3.8490817e-01
-5.9255257e-02	1.0524130e-01	1.0563624e-01	3.8201011e-01
-6.0938535e-02	1.0497281e-01	1.0536670e-01	3.7912064e-01
-6.2592697e-02	1.0469954e-01	1.0509231e-01	3.7623976e-01
-6.4218049e-02	1.0442155e-01	1.0481314e-01	3.7336747e-01
-6.5814896e-02	1.0413891e-01	1.0452925e-01	3.7050379e-01
-6.7383539e-02	1.0385169e-01	1.0424073e-01	3.6764872e-01
-6.8924281e-02	1.0355996e-01	1.0394762e-01	3.6480228e-01
-7.0437421e-02	1.0326379e-01	1.0365000e-01	3.6196447e-01
-7.1923256e-02	1.0296325e-01	1.0334794e-01	3.5913529e-01
